dist_correction_x,rot_correction,vert_correction,focal_slope,focal_distance,vert_offset_correction,dist_correction_y,laser_id,dist_correction
0.0,0.110898220672,0.0842994028713,0.0,0.0,0.0,0.0,23,0.0
0.0,-0.110898220672,-0.0520108117094,0.0,0.0,0.0,0.0,24,0.0
0.0,-0.0793775743807,0.0420624349731,0.0,0.0,0.0,0.0,25,0.0
0.0,-0.0476823951645,-0.109606677025,0.0,0.0,0.0,0.0,26,0.0
0.0,-0.0158999494857,-0.0155334303427,0.0,0.0,0.0,0.0,27,0.0
0.0,0.0158999494857,0.0631809189222,0.0,0.0,0.0,0.0,28,0.0
0.0,0.0476823951645,-0.0884881930761,0.0,0.0,0.0,0.0,29,0.0
0.0,0.0793775743807,0.00558505360638,0.0,0.0,0.0,0.0,30,0.0
0.0,0.110898220672,0.132295957301,0.0,0.0,0.0,0.0,31,0.0
0.0,-0.110898220672,-0.00593411945678,0.0,0.0,0.0,0.0,32,0.0
0.0,-0.0793775743807,0.0904080552533,0.0,0.0,0.0,0.0,33,0.0
0.0,-0.0476823951645,-0.0635299847726,0.0,0.0,0.0,0.0,34,0.0
0.0,-0.0158999494857,0.0305432619099,0.0,0.0,0.0,0.0,35,0.0
0.0,0.0158999494857,-0.436332312999,0.0,0.0,0.0,0.0,36,0.0
0.0,0.0476823951645,-0.0424115008235,0.0,0.0,0.0,0.0,37,0.0
0.0,0.0793775743807,0.051661745859,0.0,0.0,0.0,0.0,38,0.0
0.0,0.110898220672,-0.100007366139,0.0,0.0,0.0,0.0,39,0.0
0.0,-0.110898220672,0.00942477796077,0.0,0.0,0.0,0.0,40,0.0
0.0,-0.0793775743807,0.169296937443,0.0,0.0,0.0,0.0,41,0.0
0.0,-0.0476823951645,-0.048171087355,0.0,0.0,0.0,0.0,42,0.0
0.0,-0.0158999494857,0.0459021593275,0.0,0.0,0.0,0.0,43,0.0
0.0,0.0158999494857,-0.133517687778,0.0,0.0,0.0,0.0,44,0.0
0.0,0.0476823951645,-0.0270526034059,0.0,0.0,0.0,0.0,45,0.0
0.0,0.0793775743807,0.0670206432766,0.0,0.0,0.0,0.0,46,0.0
0.0,0.110898220672,-0.0846484687217,0.0,0.0,0.0,0.0,47,0.0
0.0,-0.110898220672,0.0555014702134,0.0,0.0,0.0,0.0,48,0.0
0.0,-0.0793775743807,-0.0961676417849,0.0,0.0,0.0,0.0,49,0.0
0.0,-0.0476823951645,-0.00209439510239,0.0,0.0,0.0,0.0,50,0.0
0.0,-0.0158999494857,0.100007366139,0.0,0.0,0.0,0.0,51,0.0
0.0,0.0158999494857,-0.0750491578358,0.0,0.0,0.0,0.0,52,0.0
